dummy,dummy,dummy,2015,2016,2017,2018,2019,2020
CHA,PC,BGDO,1.417,1.4134,1.0674,1.299,1.8238,2.0516
HRV,PC,BGDO,0.0243,9e-04,3e-04,0.0266,0.0616,0.0695
CYP,PC,BGDO,0.0097,0.0089,0.0099,0.009,0.0107,0.0248
CZE,PC,BGDO,0.336087878787879,0.329566666666667,0.361812121212121,0.409854545454545,0.433763636363636,0.438169696969697
DNK,PC,BGDO,0.1706,0.1735,0.1718,0.171,0.1827,0.1717
EGY,PC,BGDO,0,0,0,0,0,0
EST,PC,BGDO,0,0,0.0015,0.0122,0.0187,0.03
FIN,PC,BGDO,0.4303,0.1089,0.3101,0.2815,0.3384,0.3015
FRA,PC,BGDO,2.5652,2.5532,2.6618,2.6345,2.6301,2.1743
DEU,PC,BGDO,1.9075,1.9104,1.9539,1.9545,1.9375,2.633
GRC,PC,BGDO,0.1606,0.1678,0.1688,0.1649,0.1673,0.1415
HUN,PC,BGDO,0.1326,0.1433,0.1191,0.1424,0.1567,0.1953
NSI,PC,BGDO,0.18835,0.3841,0.631133333333333,0.525825,0.635741666666667,0.545733333333333
IND,PC,BGDO,0.0378,0.0563,0.0649,0.0782,0.0391,0.0391
IDN,PC,BGDO,0.5195,2.0489,1.7767,2.6758,4.5801,6.0151
IRN,PC,BGDO,0,0,0,0,0,0
IRL,PC,BGDO,0.0983,0.0858,0.1311,0.127,0.162,0.1551
ISR,PC,BGDO,0,0,0,0,0,0
ITA,PC,BGDO,1.1418,1.0083,1.0287,1.2171,1.2457,1.2451
JPN,PC,BGDO,0.0132,0.0114,0.0116,0.011,0.0124,0.0123
KOR,PC,BGDO,0.4182,0.4951,0.5281,0.6413,0.6413,0.6504
LVA,PC,BGDO,0.0133,9e-04,9e-04,0.0276,0.0263,0.0315
LTU,PC,BGDO,0.0566,0.0486,0.0616,0.068,0.0636,0.0847
LUX,PC,BGDO,0.0733,0.0776,0.1028,0.1087,0.1102,0.1254
MLT,PC,BGDO,0.0067,0.0066,0.0074,0.0101,0.0109,0.0133
MEX,PC,BGDO,0,0,0,0,0,0
MAR,PC,BGDO,0,0,0,0,0,0
NLD,PC,BGDO,0.167,0.1273,0.1909,0.353,0.4478,0.328
NGA,PC,BGDO,0,0,0,0,0,0
POL,PC,BGDO,0.4999,0.2897,0.4287,0.7396,0.8378,0.8565
PRT,PC,BGDO,0.3137,0.2439,0.2475,0.2644,0.272,0.2459
ROU,PC,BGDO,0.141,0.1759,0.2062,0.2066,0.3145,0.3916
RUS,PC,BGDO,0.0013,0.0013,0.0013,0.00085,0.00095,6e-04
SAU,PC,BGDO,0,0,0,0,0,0
SVK,PC,BGDO,0.121,0.1292,0.1299,0.1324,0.1371,0.1293
SVN,PC,BGDO,0.0229,0.0141,0.0208,0.066,0.0908,0.0852
ZAF,PC,BGDO,0,0,0,0,0,0
ESP,PC,BGDO,0.8061,0.9992,1.1709,1.5543,1.5289,1.3118
SWE,PC,BGDO,0.7576,1.0164,1.3066,1.4043,1.3554,1.3778
TUN,PC,BGDO,0,0,0,0,0,0
TUR,PC,BGDO,0.0651,0.0604,0.0632,0.1028,0.1142,0.0711
GBR,PC,BGDO,0.5294,0.5596,0.5507,0.9007,1.2632,1.2525
USA,PC,BGDO,5.1853,6.9994,6.3807,5.6621,5.6096,5.9291
RAS,PC,ELC,0.0173646824158337,0.0178839510874276,0.0189935581152721,0.0210587383177022,0.0280516070837595,0.0296684026288765
RWO,PC,ELC,0.00785148935860898,0.00801562955264934,0.00809005945859066,0.00936499041784335,0.013411989676869,0.0132884415358459
REU,PC,ELC,0.0015358634029938,0.00144964732289537,0.00111682858356535,0.00121231989490018,0.00128887827703607,0.000658874034940309
