dummy,dummy,2015,2016,2017,2018,2019,2020,2021
FJI,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
FJI,KM_VEH_TRUCK, 328812.000, 328812.000, 338753.000, 342556.000, 354400.000, 351000.000, 368562.000
FLK,KM_VEH,  14704.714,  14704.714,  14596.286,  14352.143,  14072.857,  14080.429,  14133.429
FLK,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
FLK,KM_VEH_TRUCK,  41999.286,  41999.286,  44004.000,  41523.143,  41393.143,  41309.857,  41420.429
FRA,KM_VEH, 116323.000, 116323.000, 118675.000, 121217.000, 122489.000, 107000.000, 116000.000
FRA,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
FRA,KM_VEH_TRUCK, 483114.000, 483114.000, 486589.000, 486597.000, 485747.000, 392000.000, 435000.000
FRO,KM_VEH,  23442.182,  23442.182,  23603.182,  24009.955,  24291.136,  22478.227,  24391.955
FRO,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
FRO,KM_VEH_TRUCK, 119303.050, 119303.050, 120383.600, 121014.000, 121706.800, 103539.550, 110689.850
FSM,KM_VEH, 114596.000, 114596.000, 123654.000, 122734.000, 124200.000, 127000.000, 130549.000
FSM,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
FSM,KM_VEH_TRUCK, 328812.000, 328812.000, 338753.000, 342556.000, 354400.000, 351000.000, 368562.000
GAB,KM_VEH,   1534.333,   1534.333,   1816.000,   2160.667,   2218.333,   2361.667,   2361.667
GAB,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
GAB,KM_VEH_TRUCK,   1013.333,   1013.333,   1105.333,    977.000,   1008.333,   1039.333,   1039.333
GBR,KM_VEH, 108900.000, 108900.000, 111500.000, 112600.000, 113800.000, 104300.000, 115600.000
GBR,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
GBR,KM_VEH_TRUCK, 410100.000, 410100.000, 415100.000, 417000.000, 423100.000, 317600.000, 356200.000
GEO,KM_VEH,  10376.857,  10376.857,   7278.857,   6693.571,   7227.286,   8220.714,   7941.571
GEO,OCCUP_CAR,NA,NA,NA,NA,NA,NA,NA
